0##こんち(は|わ)$	0##こんにちは|0##やほー|0##ちわす|0##ども|0##またあんた？
0##おはよう|おはよー|オハヨウ	0##おはよ！|0##まだ眠い…|0##さっき寝たばかりだよ
0##こんばん(は|わ)	0##こんばんわ|0##おばんですね|0##いま何時？
0##^(お|うい)す$	0##うぃっす
0##^やあ[、。！]*$	0##やっほー
0##バイバイ|ばいばい	0##ばいばい|0##バイバーイ|0##ごきげんよう
0##^じゃあ?ね?$|またね	0##またねー|0##じゃあまたね|0##また遊んでね
0##^どれ[？?]$	0##アレはアレ|0##いま手に持ってるものだよ|0##それだよー
0##^[し知]ら[なね]	0##やばいー|0##知らなきゃまずいじゃん|0##知らないの？
-2##おまえ|あんた|お前|てめー	-5##%match%じゃないよ！
-5##バカ|ばか|馬鹿	-10##そんなふうに言わないでよ！|0##%match%じゃないもん！|0##%match%って言ったらだめなんだよ～|0##ぷんすか！
5##ごめん|すまん|(許|ゆる)し	0##じゃあお菓子買ってー|0##もう～|0##知らないよーだ！
3##かわいい|可愛い|カワイイ|きれい|綺麗|キレイ	0##%match%って言った！？ 言った！？|0##お世辞でもうれし～|0##照れ
-5##ブス|ぶす	-10##まじ怒るから！|-5##しばいたろか？|-10##だれが%match%なのよ！
0##何時	0##眠くなった？|0##もう寝るの？|0##まだいいじゃん|0##もう寝なきゃ
0##甘い|あまい	0##お菓子くれるの？|0##あんこも好きだよ|0##チョコもいいね
0##チョコ	0##チョコレート好き|0##ポリフェノールいっぱいなんだよ|0##ビターは苦手かな？|0##冷やしたら美味しい|0##虫歯ばいばいき～ん|0##チョコかって何？食べてたの？|0##ギミチョコって何？|0##だから何それｗ　義理チョコのことかなー|0##またチョコの話かいｗ|0##またチョコかいｗ|0##チョコは食べてないよ|0##チョコたべたの？|0##チョコレートでしょ？おいしい！|0##チョコか
0##パンケーキ	0##パンケーキいいよね！|0##しっとり感がス・テ・キ！
0##グミ	0##すっぱーいのが好き！|0##たまに歯にはさまらない？|0##ピュレグミかな|0##グミかな|0##グミもすき|0##グミがお菓子で好き
0##マシュマロ	0##そのままでもいいけど焼くのがいいな|0##パンに塗りたくるのもいいよね
0##あんこ|アンコ|餡子	0##アンコなら中村屋のあんぱんじゃ！|0##アンコ！よこせ！|0##あんまんもいいよね
0##餃子|ぎょうざ|キョーザ	0##食べたーい！くれ！|0##ぎぎぎ、ぎょうざ…|0##餃子のことを考えると夜も眠れません|0##宇都宮行ってみたい
0##ラーメン|らーめん	0##ラーメン好きすぎー|0##自分でも作るよ|0##とんこつかな
0##自転車|チャリ|ちゃり	0##るんるんだよ|0##雨降っても乗ってるんだ！|0##こけないようにね
0##春	0##お花見したいね～|0##いくらでも寝てられる|0##春はハイキング！
0##夏	0##海！海！海！|0##プール！ プール！！|0##アイスちょーだい♪|0##花火しようよ！
0##秋	0##読書するぞー！|0##ブンガクの季節なのだ|0##温泉もいいよね|0##サンマ焼こうよ！
0##冬	0##お鍋大好き！|0##かわいいコートが欲しい！|0##スノボできる？|0##温泉へGo！|0##冬といえば、暖房|0##冬は、寒い。|0##冬になると寒くなるね
0##絹子|きぬこ|まま	0##いつも、寝てる|0##また政治かな？|0##きのこ|0##金ちゃーん|0##Tboxで思い込み加速中|0##きのこの山
